tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product
"You gotta love @mention @mention unabashed Apple #fanboy &gt;&gt; Before It Even Begins, Apple Wins #SXSW :: {link}",Apple,Positive emotion
So geeky! Love it! RT @mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,Positive emotion
.@mention Love it. @mention @mention #sxsw: &quot;apple comes up w/ cool technology no one's ever heard of because they don't go 2 conferences&quot; me 2!,Apple,Positive emotion
‰ЫП@mention Love it. @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;‰Ыќ,Apple,Positive emotion
N33: They Love Me in This Town  {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #necro,,No emotion toward brand or product
Sketchily lurking @mention big boi #sxsw concert on iPhone business with 8am HARD (read: massive announcement) deadline. #lovemyjob @mention,,No emotion toward brand or product
"trying to make a detailed, colour coded, google calendar for #SXSW is proving to be really tough. also, when did i get this organized?!",Google,Positive emotion
#technews Man panhandling for an iPad 2 at SXSW. What‰ЫЄs the world coming to? {link} #Tech_News #iPad_2 #SXSW #tech,,No emotion toward brand or product
&quot;How many people have iPads?&quot; Whole room raises hand. &quot;iPad 2's?&quot; Half the room raises hand. #stillonamacbook #shame #sxsw #nfusion,,Positive emotion
"RT Hiring marketers, designers, creatives, social media pros... Come see #Aquent booth 1415 #SXSW trade show. Might win iPad 2",,No emotion toward brand or product
I love it marketing genius.. #SXSW RT @mention Inside Apple's Temporary Store in Austin {link},Apple,Positive emotion
Great vid Marty! RT @mention #iPad2 Live Unboxing In Front Of The #SXSW Apple Store [VIDEO] {link},iPad,Positive emotion
I think I may go iPad only -- no laptop -- today at #SXSWi.  Any #SXSW veterans have any reasons why I shouldn't?,iPad,Positive emotion
They made me a #soundcloud ambassador for #sxsw I upload music from shows &amp; they reward me RT @mention This soundcloud android app is fresh,Android App,Positive emotion
"Come find me at the @mention booth, I have 2 @mention #iPad cases left and we have 1 more @mention to win! #cbatsxsw #SXSW",,No emotion toward brand or product
It amazes me how many people don't tuck the flap in on their apple iPad case #sxsw,,No emotion toward brand or product
what omfg means please? {link} Webber iPad #sxsw Dionne Warwick,,No emotion toward brand or product
Alert the media.  I just saw the one and only Android tablet at #sxsw.  Like finding a needle in a haystack!  I also saw a Cr-48.,Android,Positive emotion
N2: First Meetings {link} [codes valid: 12:00-3:59:59p 03/11/11] #infektd #sxsw #necro,,No emotion toward brand or product
"great for meetings, haha! #hollergram {link} #sxsw",,No emotion toward brand or product
But great mental image. RT @mention People in this session are taking photos w/ their iPad 2s up in the air... #doingitwrong #sxsw,,Positive emotion
purchased Mexican Mavis by Boy &amp; Bear... Sold! On first listen. Thanks #SXSW {link} #iTunes,,No emotion toward brand or product
purchased Mexican Mavis by Boy &amp; Bear... Sold! On first listen. Thanks #SXSW #iTunes #Free {link} #iTunes,Other Apple product or service,Positive emotion
"Comprando mi iPad 2 en el #SXSW (@mention Apple Store, SXSW w/ 62 others) {link}",,I can't tell
I think I might go all weekend without seeing the same iPad case twice... #sxsw,iPad,Positive emotion
For sure! Mine does via iPad RT @mention You know you are an #agnerd if your #dairy relies on evernote!  {link} #SXSW #agchat,iPad,Positive emotion
"Bummed to miss #SXSW this year, but we're all quarantined with the same kiddie cold, and I have GarageBand on my iPad to comfort me. #fb",iPad,Positive emotion
How did I miss this?! I knew I spotted NFC enabled google places marker at birds! No wonder all the billboard near #sxsw {link},,Positive emotion
"At Red 7, Mist Giant dope! Interviewed Adi from The Mind of Adi a few minutes ago, compared cat pics!  #sxsw Location: {link}",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} (via @mention",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} #Android #BlackBerry #Keitai",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} #hootsuite",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link} via @mention",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Shared by Paul‰Ы_ {link} #shared",,No emotion toward brand or product
"HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you‰ЫЄre getting friendly down at S... {link}",,No emotion toward brand or product
mashup on mobile with contextual information in the future by #Google by Marissa Mayer #sxsw #thefutureismobile,,No emotion toward brand or product
"There are more than a few PATs here at #sxsw. If you don't know what I'm talking about, please google Julia Sweeney and learn.",,No emotion toward brand or product
"Well good morning #SxSWi day 4... I'm ready for another day of great panels, BC alumni &amp; the Industry Party tonight! #sxsw #gsdm #google",,No emotion toward brand or product
Loving my Morphie JuicePack today for a recharge of iPhone. So worth it. #sxsw,iPhone,Positive emotion
"Brilliant move by Apple: before it even begins, Apple wins #SXSW {link}",Apple,Positive emotion
"Hey #SXSW movers and shakers, @mention is publishing a &quot;Poke the Box&quot; eBook next week. Get involved: {link}",,No emotion toward brand or product
Having so much fun handing out chances to win 2 Audi cars with @mention #SXSW  (@mention Apple Store SXSW) {link},,No emotion toward brand or product
How could Murphy USA better serve you inside Google Maps on your phone? -Google is announcing great features in v5 #SXSW,Google,Positive emotion
Why can't my #iPad and I be intimate together? #tapworthy #designflaws #sxswi #sxsw,iPad,Positive emotion
compiling my #sxsw list in one google doc is taking a lot longer than i thought... so many parties. so many good musicians.,Other Google product or service,Negative emotion
Day 1 and my charger kicked the bucket. Where the heck is the Apple store that's within walking distance? #sxsw,Apple,Negative emotion
#sxsw did my good deed ... returned a lost iPhone,,No emotion toward brand or product
"Thanks to my good friend, the great @mention for gifting me an Exogear iPhone backup battery case. Priceless at #sxsw",,No emotion toward brand or product
Sent from my iPhone? RT @mention Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,,No emotion toward brand or product
"With just my iPhone and iPad on me, I feel very unequipped compared to everyone else. Dang! #sxsw",iPhone,Negative emotion
"Headed to my sole #sxsw event, the ACLU dotRights/Google party",Google,No emotion toward brand or product
whats the name of the song? {link} #imthetype iPad #imthetype #sxsw,,No emotion toward brand or product
Why do we need a &quot;page flip effect&quot; -‰ЫПlike having a fake needle on a cd-player‰Ыќ  #tapworthy #sxsw #iPad,,No emotion toward brand or product
"Hm? Do we need another 1? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,Negative emotion
What do u need? @mention Groups challenged with coming up with iPhone app to solve parenting issues #sxsw #worklifeprogress,,No emotion toward brand or product
.@mention needs the help of a badass android developer right now for a debugging emergency. Know anyone? @mention him. #SXSW,,No emotion toward brand or product
‰ЫП@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link},iPad or iPhone App,Positive emotion
‰ЫП@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable {link} -fin'ly!,,No emotion toward brand or product
‰ЫП@mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by #Mashable‰Ыќ @mention vamos a probar...,,No emotion toward brand or product
Couple of new blogs: random tips on awesome iPhone app dev: {link} and the politics behind HTML5: {link} #SXSW,iPad or iPhone App,Positive emotion
Why isn't news industry spending more R&amp;D? Why wait for Apple to innovate for publishers (b/c print is subsidizing efforts.) #newsapps #sxsw,,No emotion toward brand or product
"HootSuite News: HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android {link}",,No emotion toward brand or product
This dude next to me is holding and using an iPad 2 like it's a trophy. #sxsw #lookingforwardtothemusicfest,iPad,Positive emotion
@mention  Nice @mention store huh?  Any chance we can meet (face to face) while at #SXSW today or Sat?  Wanna talk #beer &amp; #social.,,No emotion toward brand or product
There are no hard feelings towards Google. @mention says they would make a great partner. #checkins #sxsw #pnid,Google,Positive emotion
.@mention No. 1 hack they found: people jumping over the corporate firewall (e.g. using Google Docs etc.) #hackingwork #sxsw,,No emotion toward brand or product
"Hope it's not a flop akaBuzz! @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product
C34: It‰ЫЄs Not a Retreat! {link} [codes valid: 12:00-3:59:59p 03/14/11] #infektd #sxsw #cvdc,,No emotion toward brand or product
"‰ЫП@mention Not a rumor: Apple doing popup store in downtown Austin for #SXSW &amp; iPad 2 launch {link} Smart move, 1of many #dfcbto",Apple,Positive emotion
Is anyone NOT hopping on this groupon bandwagon?! ‰ЫП@mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link},,No emotion toward brand or product
Google is NOT launching any products at #SXSW {link},,No emotion toward brand or product
"Google is not launching anything during #sxsw, just partying {link} #circles",,Negative emotion
"No Droid? Not surprised. RT @mention spotted at #sxsw: table of three people with 8 phones, an iPad and a MacBook out. #gadgetoverload",,No emotion toward brand or product
"To buy or not to buy RT @mention Before It Even Begins, Apple WinsеК#SXSW {link}",Apple,Positive emotion
"Farooqui: Now about mobile. iOS, with Android catching up fast and will grow more once they allow in-app purchasing. #gamesfortv #sxsw",Android,Positive emotion
Fear not! Now extended through Wed! --&gt; RT @mention RT @mention Last day for Apple popup is Sunday 3/13 #SXSW #AppleATXdt,Apple,Positive emotion
Calvin is now the Geek Charlie Sheen with his goddesses. @mention @mention @mention @mention #google #SXSW,,No emotion toward brand or product
.@mention of @mention &quot;We were getting feedback from #SXSW groups &amp; we pushed out an Android fix at the grilled cheese stand yesterday.&quot;,,No emotion toward brand or product
".@mention of @mention on manufacturing serendipity- &quot;Having access to more information makes us more curious, not less&quot; #SXSW",,No emotion toward brand or product
&quot;All of #SXSW is nothing but a teeming sea of iPhone addicts too busy Twittering to ever engage with one anoth‰Ы_ (cont) {link},iPhone,Negative emotion
Not a fan of a new #sxsw trend - audience sharing opinions via holding up an iPad. Not here to listen to you. #annoying,iPad,Negative emotion
&quot;40% of all Google Maps usage is on mobile&quot; - Marissa Mayer #sxsw,,No emotion toward brand or product
The power of Apple: People who have spent hundreds of dollars to attend #SXSW are spending the day waiting in line for an iPad.,Apple,Positive emotion
Continuum of attitudes on crowdsourcing: Gap is to &quot;I hear you&quot; as Apple is to &quot;I'll tell you&quot; #sxsw,Apple,Positive emotion
Google VP of consumer products Marissa Mayer says location is everything: {link} #sxsw,,No emotion toward brand or product
#SXSW 20% of Google searches are for local information: Marissa Mayer. 6 million places claimed by their owners and logged by #Google,,No emotion toward brand or product
Third era of google logos = an interactive play space. Get ready. #GoogleDoodle #sxsw #gsdm,Other Google product or service,Positive emotion
"New batch of iPad 2's just delivered #sxsw #ipad2 @mention Apple Store, SXSW {link} #photo",,No emotion toward brand or product
Highlight of my day was undoubtedly meeting @mention from Google for 30 seconds after her softball fancrazed preso at #SXSW,Google,Positive emotion
Cool team of startups came via siliconvalley bus hacking apps @mention  ex-Google Au now on stage w speakermeetup #sxsw at DogPatch Labs,,No emotion toward brand or product
"Wow, lots of the #SXSW audience haven't seen the 3D vector panning in Google Maps for Mobile - gasps of appreciation",Other Google product or service,Positive emotion
#sxsw tip of the day (again ;-). turn your iphone screen brightness down. way down. #conservebatterylife #peace @mention,,No emotion toward brand or product
first leg of the Mobile Social at #sxsw #fb {link},,No emotion toward brand or product
I14: Call of the Zombie {link} [codes valid: 4:00-7:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product
I18: Call of the Zombie {link} [codes valid: 8:00-11:59:59p 03/12/11] #infektd #sxsw #zomb,,No emotion toward brand or product
Tomlinson of TX Observer says Apple subscription data holding is biggest impediment to success. #newsapps #sxsw,Apple,Negative emotion
"Tip: Turn off push &amp; set fetch to manual mode for email (mail,contacts &amp; cal &gt; fetch new data) - saves battery.  #iPhone #SXSW",,No emotion toward brand or product
‰ЫП@mention Official #SXSW App ‰ЫчSXSW GO‰ЫЄ {link} #android #iphone #ipad‰Ыќ &lt;thanks!installed,iPad or iPhone App,Positive emotion
"Zazzle is officially at #SXSW! Come by the @mention Grille, mention us with #zazzlsxsw and you‰ЫЄll get to make your own iPhone case!",,No emotion toward brand or product
"#technews OMG/JK: A Kiss For iPad 2, A Slap For Xoom {link} #Tech_News #iPad_2 #JK #OMG #SXSW #tech",iPad,Positive emotion
.@mention on #sxsw with a Cr48. there's so much potential here! {link},,No emotion toward brand or product
"Idle time on a #SXSW Friday can be an expensive thing. (@mention Apple Store, SXSW w/ 80 others) [pic]: {link}",,No emotion toward brand or product
It's also on Android. :) RT @mention Foodspotting's hit iPhone app finds the foods you crave {link}  #cnnmoneysxsw #sxsw,,Positive emotion
USA Today on iPad: makes good use of digital shortcuts while still looking like a newspaper. @mention #tapworthy #sxsw,iPad,Positive emotion
"iPhone in one hand, caramel macchiato in the other. Ouch-hiss-hot!  With apparently two pumps of lava. And so it begins... #sxsw #tmsxsw",iPhone,Positive emotion
Thats the one i want to get when it hits canada.RT @mention #sxsw ipad store sold out of everything except 64gig wifi only white,,No emotion toward brand or product
#technews One lone dude awaits iPad 2 at Apple‰ЫЄs SXSW store {link} #Tech_News #Apple #iPad_2 #SXSW #tablets #tech,,No emotion toward brand or product
More than one million ratings per month on Google HotPot #SXSW ^pr,,No emotion toward brand or product
I can haz one? ‰ЫП@mention Just showed off @mention Charge Anywhere at a bar to charge my iPhone and the whole table wanted to buy one. #SXSW‰Ыќ,iPhone,Positive emotion
&quot;the only explanation for the continued success of Apple is the existence of God.&quot; @mention #enchantment #sxsw,,No emotion toward brand or product
"#Apple to open a &quot;pop-up&quot; store across the street from #SXSW for two weeks? Umm, genius. If it isn't obvious... *cough (#iPad2) cough*",Apple,Positive emotion
#Apple to open pop up store at #SXSW in time for #ipad2 sales {link},,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link},,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link} (via @mention,,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW [REPORT] {link} #property,,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in the‰Ы_ {link},,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW [REPORT]: Apple is set to open a temporary store in the... {link} #realestate #tech,,No emotion toward brand or product
#Apple to Open Pop-Up Shop at #SXSW {link} via @mention,,No emotion toward brand or product
#Apple to open pop-up shop at #SXSW:  {link},,No emotion toward brand or product
#Apple to Open Pop-Up Shop at SXSW {link} &lt;---cool concept but I wouldn't spend my #SXSW waiting for the #iPad2,iPad,Negative emotion
#Apple to open temporary store at #SXSW {link},,No emotion toward brand or product
Have some open time Tues &amp; Wed if any news site managers want to chat about Google News. Let me know! #sxsw,,No emotion toward brand or product
Wear your OpenBeta VIP Badge at #sxsw and you might win an iPad from QuiBids and a case from @mention #sxswbuffalo,,No emotion toward brand or product
"Apple has opened a makeshift store for #sxsw, iPad2 will be available at 5pm today... #tempted",iPad,Positive emotion
Launching our iPhone app soon and we're participating to the LaunchRock comp at #SXSW {link} get your invite now! :),,No emotion toward brand or product
Hey #SXSW our new iPad app Dexteria is now available {link} like us on Facebook {link},iPad or iPhone App,Positive emotion
"IPad 2 is out! Plenty of people at the store..and in line..scarfing them up. #SXSW (@mention Apple Store, SXSW w/ 65 others) {link}",iPad,Positive emotion
Nice line outside #sxsw #apple store! I guess people want some iPad2s!!!,iPad,Positive emotion
Confusion over Google Circles. Google claim Circles is not being released at #sxsw and is not even in development. {link},,No emotion toward brand or product
@mention  packing a point by showing iphone fragmentation  #SXSW,iPhone,Negative emotion
Attending panel &quot;better living through cloud computing &quot; presented by Google's Jon Wiley. #sxsw,,No emotion toward brand or product
One #SXSW panel moderator who is from the Europe says he spent $3000 in roaming charges on his iPhone at SXSW 2010.,,No emotion toward brand or product
The brown paper on the windows as the line grows at the #SXSW PopUp Apple Store by Gold's Gym at Sixth &amp; Congress. {link},,No emotion toward brand or product
"#sxsw two parties down (Awesome Journalism, NPR/Google), one to go (PBS).",,No emotion toward brand or product
At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion
Hey #sxsw peeps! Our new IPhone app ON #Voicefeed just launched the US: {link} Check it out and let us know what you think!,iPad or iPhone App,Positive emotion
"Watch how people interact with information... it be different, bigger, smaller... #touchingstories #iPad and/or #tablet #SXSW",,No emotion toward brand or product
Hey #sxsw people! Survival tip no 2. Great vegitarian/vegan right in the think of the action. Mr Natural! {link} #sxswsurvival,,No emotion toward brand or product
The #sxsw Pepsi Max Marketing Street Team has shown up to the PopUp Apple Store line handing out drinks &amp; Tshirts. {link},,No emotion toward brand or product
"New post: Per this rumor, Google may preview its big social strategy at an '80s-themed costume party at #SXSW. Yep {link}",,No emotion toward brand or product
Instagram photo by iamtimbaker: Google's 1980's #SXSW Party with @mention {link},,No emotion toward brand or product
Trying to pick up on a theme at #SXSW this year.  I think it may be the opening of data from Google to government. #SXSW #bolinsxsw,,No emotion toward brand or product
Google is planning to launch a major new Social Network called Circles. Previews so far have been super positive #SXSW {link},Other Google product or service,Positive emotion
mashable: Platform for Concertgoers Launches Android App in Time for SXSW - {link} #sxsw {link},,No emotion toward brand or product
A game to play at SWSX... spot non Apple electronics. #sxsw,,No emotion toward brand or product
I need to play this game on my #android - #SXSW {link},Android,Positive emotion
Grown men playing legos... Google party #sxsw  @mention Speakeasy {link},,No emotion toward brand or product
I left my pocket guide at the hotel. I don't know how I'm going to cope. What does that say about the usability of iPad/iPhone app? #SXSW,iPad or iPhone App,Negative emotion
"Check out Poked, Liked &amp; Re-Tweeted: A Google Love Story at SXSW.
{link} #SXSW #sxsw15 #sxswiC",,No emotion toward brand or product
"Check out Poked, Liked &amp; Re-Tweeted: A Google Love Story at SXSW. #SXSW #sxsw15 #sxswiC",,No emotion toward brand or product
Temporary Pop Shop by #Apple at #SXSW and Nice Flipboard upgrade,,Positive emotion
The apple pop up store at #sxsw is no joke.,Apple,Positive emotion
Found the pop-up Apple store at #SXSW,,No emotion toward brand or product
The Apple pop-up store is more attractive and impressive than many permanent retail stores. #sxsw,Apple,Positive emotion
The Apple pop-up store line finally dwindled. Time to check out iPad2. #sxsw,iPad,Positive emotion
"The apple popup store was off the hook last night at #sxsw - singing, dancing, high fives on new iPad purchase",iPad,Positive emotion
"Wordpress powers 12% of websites (from #SXSW talk from WP founder).  WOW.  The other 88%?  russian spam bots, nigerian bankers, google",,No emotion toward brand or product
"Brilliant PR stunt, business idea and customer service response in one: Apple sets up a pop-up store at #sxsw, draws crowds, media &amp; revenue",Apple,Positive emotion
"Panels on PR, cloud computing, Android design, iPhone design today. Hope to redeem my panel experience in one fell swoop #sxsw",,No emotion toward brand or product
"Excellent presentation by @mention on &quot;The untapped iPad Market, is your site POUR?&quot; #sxsw #poursite #accessibility",iPad,Positive emotion
Excellent presentation on digital magazines {link} #touchingstories #SXSW,,No emotion toward brand or product
Hey #sxsw presenters &amp; attendees! Here are tips on how to show presentations on the #iPad and #iPhone {link},,No emotion toward brand or product
iPad 2 is pretty sick! Almost makes me think I need one! #sxsw,iPad,Positive emotion
Google to preview new social network called Circles at SXSW Interactive today - {link} #Google #Social #SXSW #Circles,,No emotion toward brand or product
Google To Preview Social Networking Platform At #SXSW Conference? {link},,No emotion toward brand or product
#technews Privacy Could Headline Google Circles Social... {link} #Tech_News #ACLU #Google_Circles #Social_Network #SXSW #tech,,No emotion toward brand or product
.@mention Problem with Google Living Stories was the process of creating content didn't change - was just an interface. #hacknews #SXSW,Other Google product or service,Negative emotion
‰чј We have problems‰Ы_TIME TO STOP *******! ‰ч_ {link} ‰г_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product
Im in the Q at the Apple pop up store #sxsw with @mention and @mention !! :))  {link},,No emotion toward brand or product
"Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW.
{link} #SXSW #qagb",,No emotion toward brand or product
Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW. #SXSW #qagb #sxsma,,No emotion toward brand or product
"‰ЫП@mention Qik Video Connect Plus launches today! Get live video chat, video mail, share live video to Twitter and more  #SXSW‰Ыќ make it for iPad",,No emotion toward brand or product
"Ne sapete qualcosa? ‰ЫП@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw‰Ыќ",,No emotion toward brand or product
"if you're racing around #sxsw, you best be fueling up with great local fare
#eatshopaustinapp {link}",,No emotion toward brand or product
Now on my radar: Google Circus. RT @mention Google to Launch New Social Network: Circles via @mention {link} #pr  #SXSW,,No emotion toward brand or product
BRILLIANT READ: Attention Marketers and Media Professionals: the iPad won't save you by @mention  {link} #usguys #SxSW,,Negative emotion
"Augmented reality? Pah! Mayer (Google) calls it &quot;contextual discovery&quot; ‰ЫТ doing searches without search, *with users' permission* #sxsw",,No emotion toward brand or product
".@mention Rec: Give the Bad Apple a job in a mtg, such as taking notes. Make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",,No emotion toward brand or product
Google is reproducing digitally the way you organically consume information. Goggles is the best example of that. #SXSW #MarissaMeyer,Google,Positive emotion
"Future of retail instore = party [goods] up front, biz [inventory ]in the back ala #apple mullet #sxsw #kiosks",,No emotion toward brand or product
".@mention retiring from Wine Library TV, moving onto Daily Grape. Get the app on yr iPhone. #thankyouecon #SXSW",iPad or iPhone App,Positive emotion
.@mention reveals average time users spent on NYT's Oscars iPad app was 16mins: &quot;That blew my mind&quot; #newsapps #sxsw,iPad or iPhone App,Positive emotion
"They were right, the @mention 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion
‰ЫП@mention RT @mention - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw‰Ыќ,,No emotion toward brand or product
"‰ЫП@mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw‰Ыќ",,No emotion toward brand or product
"‰ЫП@mention RT @mention Google to Launch New Social Network Called Circles, Possibly Today {link} #sxsw‰Ыќ Reported on Buzz?",,No emotion toward brand or product
‰ЫП@mention RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circles‰Ыќ,,No emotion toward brand or product
@mention  RT @mention Apple store downtown Austin open til Midnight. #sxsw,,No emotion toward brand or product
@mention  RT @mention Mayer: 20% of Google searches are for local information #SXSW ^pr,,No emotion toward brand or product
"B_social! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #in",,No emotion toward brand or product
Congrats! RT @mention Good News! Austin Eats: BBQ for iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi,iPad or iPhone App,Positive emotion
Congrats! RT @mention Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete! #QuiBidsWin,iPad,Positive emotion
Congrats! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion
"eh there? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product
I like it RT @mention @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky #911tweets panel #SXSW.,Google,Positive emotion
"L.A.M.E.  RT @mention &quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",Other Google product or service,Negative emotion
Love it . RT @mention From #Apple to Naomi Campbell: pop-up stores are all the rage: {link} #sxsw,Apple,Positive emotion
"Love you! RT @mention en route to austin, tx for #sxsw accompanied by fedoras + instruments + weird haircuts + apple products",,No emotion toward brand or product
"OOOOrkut? RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product
Shut. Up. RT @mention It's not a rumor: Apple is opening a temp store in downtown Austin for #SXSW &amp; the iPad 2 launch. {link},,No emotion toward brand or product
Too late? RT @mention #google to launch a #socialnetwork at #sxsw today? #SocialMedia #fb,,No emotion toward brand or product
Yen only? RT @mention VERY IMPORTANT: Make sure you are donating to the JAPANESE Red Cross: {link} #sxswcares #sxsw #quake,,No emotion toward brand or product
New #SXSW rule: no more ooing and ahing over your new iPad. We get it. Its not a big deal. Everybody has one now... :-),iPad,Negative emotion
"#sxsw hot rumor about Google's new social network &quot;Google Circles&quot; {link} (photo, video, status sharing)",,Positive emotion
Guess the rumors were wrong ‰ЫП@mention We're not launching any products at #SXSW but we're doing plenty else. {link},,No emotion toward brand or product
google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,Google,Positive emotion
Wow. Just saw someone using a computing device other than a Mac or an iPad here at #sxsw A rare sighting indeed.,,Positive emotion
@mention  Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSW i{link} see us booth 437,,No emotion toward brand or product
@mention  Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSWi{link} see us booth 437,,No emotion toward brand or product
I can now say that Google got me drunk #sxsw #h4ckers,,I can't tell
My iPhone says it can't connect to the Internet even though #sxsw wifi works great on my computer. Any suggestions?,,Negative emotion
#sxsw app schedule #fail try sched.org - google: sched sxsw 2011 click first link. All the unofficial parties and room counts. Genius.,,No emotion toward brand or product
I current screen in my browser is &quot;Upload an Application&quot; #android #lmndst #startupbus #sxsw,,No emotion toward brand or product
grabbed a seat in ballroom d to hear @mention from Google #SXSW,Google,Positive emotion
"Expect to see several NFC  trials this yr, Google &amp; Android working w/ @mention #virtualwallet #digitalID #sxsw",,No emotion toward brand or product
"Ok,I have seen two impressive lines since I'm at #SXSW  the one at the Apple Store yesterday. &amp; the @mention party now cc @mention",Apple,Positive emotion
"*Spark is selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw",,No emotion toward brand or product
"#Apple is setting up a pop-up store in downtown Austin (to sell bajillions of iPad2s to #sxsw attendees, of course!) {link}",Apple,Positive emotion
Google is setting up a bunch of computers at their #SXSW trade show exhibit. Premiere of Google Circles? {link},,No emotion toward brand or product
I've seen several people working on iPad 2s at #SXSW today.,,No emotion toward brand or product
There's a short line building at the flash Apple store downtown. People want their new iPads. #SXSW,,No emotion toward brand or product
C40: Nice Shot {link} [codes valid: 8:00-11:59:59p 03/14/11] #infektd #sxsw #cvdc,,No emotion toward brand or product
exclusive shot of #SXSW popup Apple Store! {link},Apple,Positive emotion
"I guess i should say I told you so!
Apple is opening up a temporary store in downtown Austin for #SXSW &amp; iPad 2 launch {link}",,No emotion toward brand or product
#ipad art show at @mention just in time for #sxsw check it out you interactive fools,iPad,Positive emotion
"Mayer now showcasing 'Google Places with Hotpot', a restaurants-rating tool. Hello, mobile advertising/check-ins push. #sxsw",,No emotion toward brand or product
"Danger of sitting on floor and charging your laptop, iPod, iPhone, etc is the dreaded &quot;dead butt&quot;. Damn those tingles. #sxsw #SXnewworlds",,No emotion toward brand or product
ipad is a slow resting heartrate  #tapworthy #sxsw #gsdm about leisure vs quick results on iphone,,I can't tell
‰ЫП@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWi‰Ыќ,,No emotion toward brand or product
‰ЫП@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWi‰Ыќ Gr8!,,Positive emotion
@mention  so #jealous of you. #sxsw &amp; you have the new iPad?!,iPad,Positive emotion
Impressed so far with the iPad 2's slim form and &quot;instant on&quot;-ness that I've seen. Haven't tried one myself yet. #sxsw #sxswi,iPad,Positive emotion
There are so many ppl w/ Apple products at #SXSW - I think my head is about to explode! (this message brought to you via iPhone),,Positive emotion
